Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,2.0,504.94,81.8,0,5.57
TEST,2.0,500.42,80.3,0,5.57
TEST,2.0,502.28,80.8,0,5.57
TEST,2.0,499.85,81.8,0,5.57
TEST,2.0,501.81,80.3,0,5.57
TEST,2.0,499.24,81.3,0,5.57
TEST,2.0,504.73,80.8,0,5.57
TEST,2.0,500.01,81.8,0,5.57
TEST,2.0,501.62,80.3,0,5.57
TEST,2.0,501.46,81.8,0,5.57
TEST,2.0,504.81,80.8,0,5.57
TEST,2.0,504.69,80.8,0,5.57
TEST,2.0,504.35,81.3,0,5.57
TEST,2.0,501.92,81.8,0,5.57
TEST,2.0,511.1,81.3,0,5.57
TEST,2.0,502.14,81.3,0,5.57
TEST,2.0,501.19,81.3,0,5.57
TEST,2.0,500.92,81.3,0,5.57
TEST,2.0,504.62,80.8,0,5.57
TEST,2.0,500.55,81.3,0,5.57
TEST,2.0,504.58,81.3,0,5.57
TEST,2.0,507.89,81.3,0,5.57
TEST,2.0,502.06,82.3,0,5.57
TEST,2.0,507.87,81.8,0,5.57
TEST,1.9,514.69,82.3,0,5.57
TEST,2.0,504.94,81.8,0,5.57
TEST,2.0,500.22,80.8,0,5.57
TEST,2.0,506.52,81.3,0,5.57
TEST,2.0,505.34,82.3,0,5.57
TEST,2.0,503.23,82.8,0,5.57
TEST,2.0,508.2,81.8,0,5.57
TEST,2.0,509.61,81.3,0,5.57
TEST,2.0,504.22,81.8,0,5.57
TEST,2.0,506.47,82.3,0,5.57
TEST,2.0,502.75,81.3,0,5.57
TEST,2.0,506.28,81.3,0,5.57
TEST,2.0,509.72,81.3,0,5.57
TEST,2.0,505.01,82.8,0,5.57
TEST,2.0,511.85,81.8,0,5.57
TEST,2.0,510.93,81.8,0,5.57
TEST,2.0,504.33,81.3,0,5.57
TEST,2.0,499.42,81.8,0,5.57
TEST,2.0,503.87,82.3,0,5.57
TEST,2.0,511.32,80.8,0,5.57
TEST,2.0,506.19,82.3,0,5.57
TEST,2.0,505.53,81.8,0,5.57
TEST,2.0,507.29,81.8,0,5.57
TEST,2.0,500.14,81.8,0,5.57
TEST,2.0,505.37,81.3,0,5.57
TEST,2.0,505.62,82.3,0,5.57
TEST,2.0,507.6,82.3,0,5.57
TEST,2.0,507.11,81.8,0,5.57
TEST,2.0,503.39,82.3,0,5.57
TEST,1.9,516.47,81.8,0,5.57
TEST,2.0,506.41,83.3,0,5.57
TEST,2.0,500.62,82.3,0,5.57
TEST,2.0,511.72,82.3,0,5.57
TEST,2.0,509.08,82.8,0,5.57
TEST,1.9,514.11,82.3,0,5.57
TEST,2.0,512.66,83.3,0,5.57
TEST,2.0,509.93,81.8,0,5.57
TEST,2.0,512.31,81.3,0,5.57
TEST,2.0,507.02,82.3,0,5.57
TEST,1.9,516.51,81.8,0,5.57
TEST,2.0,510.16,81.8,0,5.57
TEST,2.0,503.34,82.8,0,5.57
TEST,2.0,511.03,82.8,0,5.57
TEST,2.0,509.63,82.3,0,5.57
TEST,2.0,508.48,81.8,0,5.57
TEST,1.9,518.11,82.8,0,5.57
TEST,2.0,512.6,81.8,0,5.57
TEST,2.0,511.53,82.3,0,5.57
TEST,2.0,507.28,82.3,0,5.57
TEST,2.0,509.5,81.8,0,5.57
TEST,1.9,515.64,82.3,0,5.57
TEST,2.0,508.71,82.8,0,5.57
TEST,1.9,518.71,81.8,0,5.57
TEST,1.9,513.31,80.8,0,5.57
TEST,2.0,504.35,83.8,0,5.57
TEST,2.0,512.53,81.3,0,5.57
TEST,2.0,510.57,81.8,0,5.57
TEST,1.9,513.05,82.3,0,5.57
TEST,1.9,514.75,82.8,0,5.57
TEST,1.9,514.48,82.8,0,5.57
TEST,2.0,506.59,81.8,0,5.57
TEST,1.9,517.21,82.8,0,5.57
TEST,1.9,519.48,82.8,0,5.57
TEST,2.0,504.56,83.3,0,5.57
TEST,1.9,517.12,81.8,0,5.57
TEST,2.0,512.51,82.3,0,5.57
TEST,2.0,507.83,81.8,0,5.57
TEST,2.0,506.6,82.8,0,5.57
TEST,1.9,514.92,81.8,0,5.57
TEST,1.9,514.83,82.3,0,5.57
TEST,1.9,517.25,82.8,0,5.57
TEST,1.9,519.48,82.3,0,5.57
TEST,1.9,516.18,81.8,0,5.57
TEST,2.0,506.22,82.8,0,5.57
TEST,1.9,520.93,83.3,0,5.57
TEST,1.9,519.11,82.3,0,5.57
TEST,2.0,511.99,82.3,0,5.57
TEST,1.9,518.76,83.3,0,5.57
TEST,2.0,512.52,81.8,0,5.57
TEST,1.9,517.83,81.8,0,5.57
TEST,1.9,515.39,82.8,0,5.57
TEST,1.9,523.82,81.8,0,5.57
TEST,2.0,511.43,82.8,0,5.57
TEST,2.0,508.35,81.8,0,5.57
TEST,2.0,512.24,81.3,0,5.57
TEST,2.0,512.17,82.3,0,5.57
TEST,2.0,509.19,81.8,0,5.57
TEST,1.9,520.73,82.3,0,5.57
TEST,1.9,516.2,81.8,0,5.57
TEST,2.0,511.31,82.3,0,5.57
TEST,1.9,518.8,82.8,0,5.57
TEST,1.9,516.45,82.3,0,5.57
TEST,1.9,519.77,82.8,0,5.57
